title,location,rental_type,feat_amenities,rates,host,same_area,host_location,host_reviews,rental_age,rental_reviews,Superhost
"Downtown Clean, Waikiki is close!!",Oahu,Private room in house,,84,Hosted by Saranya,Y,"Honolulu, HI ·",412,3,223,Y
Oceanview/Cozy/Spacious/Charming,Oahu,Private room in house,25,87,Hosted by Janina,Y,"Kaaawa, HI ·",252,6,255,Y
Open Space Triangle House Ocean . Stars . Explore,Big Island,Entire house,31,130,Hosted by SherylRose,N,"California, CA ·",680,6,190,Y
Waterfront Hawaii Kai bed + bath,Oahu,Private room in house,,175,Hosted by James And Naomi,Y,"Honolulu, HI ·",652,4,241,Y
Shaka by the Beach,Oahu,Entire guesthouse,,172,Hosted by Michele,Y,"Ewa Beach, HI ·",388,5,168,Y
Idyllic Honaunau Standard Room with Mountain Views,Big Island,Private room in house,25,105,Hosted by Rhonda,Y,"Captain Cook, HI ·",792,6,425,Y
Paradise Studio Walk to Beach,Oahu,Entire house,,,Hosted by Hannah,Y,"Kailua, HI ·",284,5,,
Private Kaneohe Bay Studio,Oahu,Entire guest suite,32,123,Hosted by Brett And Kimberley,Y,"Kaneohe, HI ·",205,6,203,N
Lux Modern Home . Star Gazing . Ocean & Explore,Big Island,Entire house,34,148,Hosted by SherylRose,N,"California, CA ·",680,6,195,Y
MAUI LAHAINA OCEAN FRONT STUDIO! NEAR NAPILI!,Maui,Entire condominium,26,238,Hosted by Jay,N,"Los Angeles, CA ·",1920,7,273,Y
Ocean ∘ City ∘ Mountain views in the ❤️ of Waikiki,Oahu,Entire condominium,,176,Hosted by Jen & David,,,73,1,73,Y
Private Garden Studio with Ocean Views in Na'alehu,Big Island,Entire guest suite,34,100,Hosted by Paul,,,853,6,260,Y
Ocean ∘ City ∘ Mountain views in the ❤️ of Waikiki,Oahu,Entire condominium,,,Hosted by Jen & David,,,73,1,,
"""Surf Suite"", cozy studio apt",Maui,Entire condominium,,138,Hosted by Bill & Tracey,N,"St Albert, Canada ·",320,8,270,Y
5 minute walk to Magic Sands Beach!,Big Island,Entire guest suite,22,134,Hosted by Paul,Y,"Kailua-Kona, HI ·",468,5,267,Y
"Awesome View 10-15 min. to Kona, Treehouse Room #4",Big Island,Private room in guesthouse,21,70,"Hosted by Antoinette, Johnny & Luna",Y,"Hōlualoa, HI ·",1505,6,326,N
Dwell-Style Mountain Retreat!,Oahu,Entire guesthouse,,223,Hosted by Doug,Y,"Honolulu, HI ·",132,6,97,N
The House in the Clouds,Big Island,Entire apartment,,101,Hosted by Kristin,Y,"Volcano, HI ·",396,4,397,Y
VIEWS VIEWS VIEWS~ Cheapest OCEANFRONT CONDO \ooo/,Maui,Entire condominium,,225,Hosted by Maui Vacation,Y,"Wailuku, HI ·",175,5,64,N
28F Panorama Ocean View Studio with Full Kitchen!,Oahu,Entire condominium,,163,Hosted by Nobu,Y,"Honolulu, HI ·",1393,4,60,N
Peaceful House in Kona Paradise,Big Island,Entire house,,225,Hosted by Delphine,Y,"Captain Cook, HI ·",308,6,278,Y
Kawelo Hale Kai Ocean Front Suite,Oahu,Entire guesthouse,25,205,Hosted by Alexi Kawelo,Y,"Kaneohe, HI ·",1,3,111,Y
"Romantic Garden Cottage,View! Pool!",Kauai,Entire cottage,36,,Hosted by Jeffrey,N,"Los Angeles, CA ·",710,6,46,Y
"Bamboo Temple, views to dream, walk to waterfall!",Maui,Entire cabin,,,Hosted by Jennifer & Kutira,Y,"Huelo HI, HI ·",392,6,90,N
"Private acommodation, Mountain and Ocean views",Maui,Entire bungalow,,173,Hosted by Farm,Y,"Hana, HI ·",650,5,327,Y
Highrise studio w/ incredible views,Oahu,Entire apartment,22,148,Hosted by William,Y,"Honolulu, HI ·",706,4,191,N
Balinese Elegance Close to Beach,Big Island,Entire loft,,172,Hosted by Justin,N,"San Francisco, CA ·",1985,8,294,Y
"Cozy Cottage, Room #1",Oahu,Private room in house,,54,Hosted by Allison & Gary,Y,"Hawaii, HI ·",1511,6,340,N
"Ocean Gem w/Big Ocean View, Amazing Pool Free Wifi",Kauai,Entire apartment,33,227,Hosted by Mary,Y,"Kauai Hawaii, HI ·",349,6,66,Y
"Oceanfront w/ Pool, Hear the Waves, Strong WIFI",Maui,Private room in condominium,,122,Hosted by BethAnn,Y,"Maalaea, HI ·",254,4,223,N
Newly Renovated 2 Bed 2 Bath family-friendly Cond,Oahu,Entire apartment,45,,Hosted by Masa,N,"Sendai, Japan ·",233,5,80,Y
Kona Studio & Pool,Big Island,Entire guest suite,32,115,Hosted by Laura,Y,"Kailua-Kona, HI ·",371,4,340,Y
THE GRAND EXPERIENCE,Oahu,Entire apartment,23,198,Hosted by Kurt,Y,"Honolulu, HI ·",929,9,156,Y
STUDIO OCEAN VIEW FREE WIFI EXC LOC TAX INCLUDED,Oahu,Entire apartment,30,190,Hosted by Olivier,Y,"Honolulu, HI ·",1107,6,263,Y
Kona Town Oasis,Big Island,Private room in house,,68,Hosted by Marc,Y,"Kailua-Kona, HI ·",556,4,510,Y
"Hanalei Bay Resort 1513, Quiet Hotel Suite",Kauai,Entire condominium,,204,Hosted by Cory,N,"Houston, TX ·",299,3,164,N
Leilani Pahoa : Naturist Beach : Allergy Friendly,Big Island,Entire cottage,29,98,Hosted by Babette,Y,"Hawaii, HI ·",212,8,212,Y
••61M•• Private BED ROOM girls only mid of WAIKIKI,Oahu,Private room in apartment,,65,Hosted by Tomoko,Y,"Honolulu, HI ·",2622,6,213,N
Amazing Studio/Spectacular view/Heart of Waikiki,Oahu,Entire apartment,34,,Hosted by Saichi,Y,"Honolulu, HI ·",913,5,,
Romantic Bliss Maui,Maui,Entire apartment,36,177,Hosted by Tracy,Y,"Sunny Kihei in Maui, HI ·",502,10,272,N
Ocean View Cottage in private member assoissiation,Maui,Entire bungalow,,173,Hosted by Farm,Y,"Hana, HI ·",650,5,323,Y
Beautiful Oceanfront sunny Waikiki,Oahu,Room in hotel,33,305,Hosted by Dana,Y,"Kailua-Kona, HI ·",556,9,255,Y
Tropical & Airy By the Beach,Big Island,Private room in house,,75,Hosted by Dan,Y,"Kailua-Kona, HI ·",13,5,312,Y
Cozy Tropical Retreat,Oahu,Entire guesthouse,,182,Hosted by Alfon,Y,"Honolulu, HI ·",126,4,123,Y
"Cozy Cottage, Room #2",Oahu,Private room in house,33,61,Hosted by Allison & Gary,Y,"Hawaii, HI ·",1511,6,333,N
Luxury Vacation Walk to Beach Ocean Condo Maui HI,Maui,Entire condominium,,312,Hosted by Rebecca,,,260,5,84,N
Treehouse Ohana,Big Island,Private room in guest suite,,164,Hosted by James & Keiko,Y,"Kailua-Kona, HI ·",259,7,247,Y
Lovely Bedroom In Sunny Waikiki,Oahu,Private room in condominium,31,99,Hosted by Kumiko,Y,"Honolulu, HI ·",,3,343,N
Peaceful Balinese Teak Cottage and Gardens,Big Island,Entire cottage,,130,Hosted by Suzanne,Y,"Pāhoa, HI ·",288,7,287,Y
"Chandy's Place, ""elua"" two",Big Island,Private room in house,,77,Hosted by Chandy,Y,"Kailua-Kona, HI ·",979,5,621,Y
"Breathe in Beauty, Peace and Light",Big Island,Entire house,23,137,Hosted by Konrad & Robert,Y,"Pāhoa, HI ·",436,6,282,Y
Lucy Fan Ohana - A Maui Gem!,Maui,Entire apartment,39,129,Hosted by Judit & Tim,Y,"Haiku, HI ·",313,6,314,Y
Beautiful 90° Ocean View,Maui,Entire condominium,,180,Hosted by Ingrid,N,"Burnaby, Canada ·",178,3,92,Y
Steps to Charley Young Beach Apt #1,Maui,Entire apartment,30,181,Hosted by Thomas,Y,"Hawaii, HI ·",998,3,189,Y
Newly Renovated Studio in Heart of Princeville!,Kauai,Entire apartment,28,169,Hosted by Juliana,Y,"Princeville, HI ·",568,4,120,Y
North Shore Glamping,Molokai,Tent,,126,Hosted by Scott And Melissa,Y,"Waialua, HI ·",611,7,227,Y
OCEANFRONT GET-A-WAY,Maui,Entire apartment,,227,Hosted by Robert,N,"Anola, Canada ·",148,6,148,Y
Cool Newly Renovated Studio! 10 Minutes to Hanalei,Kauai,Entire condominium,,159,Hosted by Carla,Y,"Kilauea, HI ·",174,3,142,Y
"MOLOKAI, OCEAN VIEW 1 BD + LOFT BD, not on MAUI",Molokai,Entire apartment,,165,Hosted by Jay,N,"San Clemente, CA ·",220,5,140,Y
Sunset Beach Surf Cabin North shore,Oahu,Entire cabin,,,Hosted by John,Y,"Oahu, HI ·",823,9,,
"Beautiful North Shore Oahu, 3 Beds!",Oahu,Entire guesthouse,,232,Hosted by Rainey,Y,"Haleiwa, HI ·",335,8,317,N
2 BEDROOM OCEAN FRONT AMAZING VIEW,Kauai,Entire condominium,40,204,Hosted by Michael,Y,"Kapaa, HI ·",204,7,132,N
Contemporary Family Condo (Princeville),Kauai,Entire condominium,36,254,Hosted by Kevin,N,"San Francisco, CA ·",292,6,289,Y
2 BR Condo 2 Blocks to Best Beaches in Kihei Maui,Maui,Entire condominium,40,215,Hosted by Thomas,Y,"Kihei, HI ·",318,2,152,Y
Beautiful Studio w/ Stunning Views,Oahu,Entire condominium,25,,Hosted by William,Y,"Honolulu, HI ·",708,4,,
Beachside Studio,Molokai,Entire guest suite,,153,Hosted by Amy,Y,"Waialua, HI ·",328,5,300,Y
Kailua Ocean Breeze Beach Studio,Oahu,Entire guesthouse,,120,Hosted by Frank,Y,"Kailua, HI ·",729,8,234,Y
"Hula Hale, North Shore, Maui",Maui,Entire apartment,,154,Hosted by Claire & Billy,Y,"Haiku-Pauwela, HI ·",374,8,190,Y
Little Studio by the Sea (A/C & bikes),Oahu,Entire guest suite,,198,Hosted by Polly,Y,"Haleiwa, HI ·",259,6,255,Y
King Bdrm w/private bath/ocean view,Oahu,Private room in house,,131,Hosted by MiMi,Y,"Honolulu, HI ·",151,3,148,Y
"""Dancing Turtle""",Maui,Private room in bed and breakfast,27,141,Hosted by Maxi,Y,"Kihei, HI ·",350,4,271,Y
~RAINBOW SUNRISE~ LEGAL IN RESORT ZONE,Oahu,Entire apartment,,153,Hosted by Gina,Y,"Honolulu, HI ·",1574,8,186,N
WAIKIKI Panoramic OCEAN VIEW Studio,Oahu,Entire apartment,,172,Hosted by Nicholas,Y,"Honolulu, HI ·",179,5,178,Y
Luana Waikiki Hotel - Ocean View & Modern style,Oahu,Room in boutique hotel,,169,Hosted by Phillip,Y,"Honolulu, HI ·",194,2,116,Y
Cute and completely private studio,Oahu,Entire guest suite,,139,Hosted by Shiori,Y,"Honolulu, HI ·",485,5,263,Y
Hale ‘Apapane in beautiful Volcano,Big Island,Entire house,36,259,Hosted by Mark,N,"San Francisco, CA ·",488,8,217,Y
Spacious condo close to beach,Maui,Entire apartment,21,202,Hosted by Viktoria,Y,"Kihei, HI ·",4491,6,217,Y
Paradise Awaits You @ TRACY’S TROPICAL TREASURE #4,Maui,Entire apartment,26,207,Hosted by Tracy,Y,"Sunny Kihei in Maui, HI ·",502,10,86,Y
Cottage studio with ocean view,Maui,Entire bed and breakfast,,204,Hosted by Art And Lynnette,Y,"Kula, HI ·",581,5,333,Y
"Amazing Sunset, Amazing Hanauma Bay",Oahu,Entire house,,174,Hosted by Meera,Y,"Honolulu, HI ·",406,7,187,N
Sunrise Hana Beach Studio,Maui,Entire apartment,,166,Hosted by Tania And Kaua,Y,"Hana, HI ·",938,2,409,Y
Haliewa Alii Beach Surfer's Studio,Oahu,Entire guesthouse,21,,Hosted by Damon,Y,"Haleiwa, HI ·",264,4,,
"""THE""OCEAN VIEW IN HAWAII PARADISE!",Oahu,Entire apartment,,209,Hosted by Pia,Y,On the premises where unit is listed ·,243,6,241,N
"Great value, nice Kihei condo",Maui,Entire apartment,18,182,Hosted by Viktoria,Y,"Kihei, HI ·",4491,6,186,Y
Waterfront Retreat by the Sea,Oahu,Entire guest suite,,162,Hosted by Beccy,Y,"Hauula, HI ·",181,4,177,Y
A slice of Aloha in Historic Downtown Kona Hawaii,Big Island,Entire apartment,,112,Hosted by Nev,N,"Manhattan Beach, CA ·",366,7,348,Y
Direct Ocean & Beachfront Studio,Kauai,Entire condominium,28,185,Hosted by Khaled & Heather,Y,"Kapaa, HI ·",350,5,127,Y
"Great Value, Waikiki Studio, Convenient Spot!",Oahu,Entire condominium,,160,Hosted by Justin,Y,"Honolulu, HI ·",229,6,133,N
"Paauilo, Far From the Madding Crowd",Big Island,Entire guesthouse,,148,Hosted by Baki And Bailey,Y,"Kamuela, HI ·",240,7,186,N
Slice Of Paradise (New Ocean Front),Molokai,Entire guest suite,23,,Hosted by Flynn,Y,"Hawaii, HI ·",159,2,160,Y
Napili bay studio All taxes included,Maui,Entire condominium,35,178,Hosted by Ruben,Y,"Hawaii, HI ·",146,2,146,Y
Beautifully updated ocean front condo,Kauai,Entire condominium,31,270,Hosted by Carolyn & Aart,N,"California, CA ·",122,3,121,Y
THE LOTUS GARDEN-Sweet Room/Downtown Hilo,Big Island,Private room in cottage,11,,Hosted by Megan,Y,"Hilo, HI ·",1819,7,419,Y
3 bed/2 bath Oceanfront Bungalow,Oahu,Entire house,21,,Hosted by The Turner Family,Y,"Ewa Beach, HI ·",717,7,180,Y
❤️'s Room ✔Ocean View ✔Lanai ✔Steps2 Beach ✔Wifi,Oahu,Entire serviced apartment,40,200,Hosted by Francisco,Y,"Honolulu, HI ·",1670,7,313,Y
Upscale Condo at Maui Vista Resort with Ocean View,Maui,Entire condominium,37,204,Hosted by Anthony,Y,"Kihei, HI ·",116,2,116,Y
"SEASIDE CONDO Ocean View Free wifi, Oceanside Pool",Kauai,Entire condominium,35,223,Hosted by Mary,Y,"Kauai Hawaii, HI ·",349,6,89,Y
Private Room with private entrance,Oahu,Private room in house,,65,Hosted by Kenny,Y,"Honolulu, HI ·",581,5,228,Y
Discount!! Cozy Condo by beach Waikiki Grand Hotel,Oahu,Entire apartment,35,140,Hosted by Stellavera Kilcher & Michael,Y,"Honolulu, HI ·",244,4,129,N
Simple Serenity by the Sea - Mahalo,Oahu,Tiny house,,95,Hosted by Lori And Tunji,Y,"Hawaii, HI ·",209,5,205,Y
LivingHealthyWithChocolate's Guest House,Oahu,Entire guesthouse,,195,Hosted by LivingHealthyWithChocolate,Y,"Waialua, HI ·",268,3,267,Y
THE LOTUS GARDEN-Sweet Room/Downtown Hilo,Big Island,Private room in cottage,11,85,Hosted by Megan,Y,"Hilo, HI ·",1819,7,,
Beautifully updated ocean front condo,Kauai,Entire condominium,31,,Hosted by Carolyn & Aart,N,"California, CA ·",122,3,,
Kaua'i Princeville at Hanalei Condo with AC,Kauai,Entire apartment,,268,Hosted by Teddy,Y,"Kapaa, HI ·",1089,4,240,Y
Sweet Upstairs Corner Ocean View Studio on Molokai,Molokai,Entire condominium,22,143,Hosted by Sharon,N,"Seattle, WA ·",126,5,116,Y
"Kihei Maui Studio Condo,King bed, from $60 *2",Maui,Entire condominium,,147,Hosted by Aaron,N,"Morrison, CO ·",277,7,155,Y
"One Bdrm Apt, Steps to Hukilau Beach, A/C",Oahu,Entire guest suite,,160,Hosted by Kelly,Y,"Laie, HI ·",365,4,154,Y
★ Huge 3br/3ba ★ Amazing Ocean Views ★ Top rated ★,Big Island,Entire apartment,,,Hosted by Marcus,Y,"Kailua-Kona, HI ·",126,7,116,Y
Ocean View Studio in Fabulous Waikiki Beach!,Oahu,Private room in condominium,38,148,Hosted by Larry,Y,"Honolulu, HI ·",1162,3,,
NICE STUDIO FREE WIFI EXC LOCATION TAX INCLUDED,Oahu,Entire apartment,29,174,Hosted by Olivier,Y,"Honolulu, HI ·",1107,6,228,Y
Hobbit Hut,Oahu,Entire bed and breakfast,,135,Hosted by Casey & Shae,Y,"Waialua, HI ·",1110,6,283,Y
"Convenient Location, Waikiki Studio",Oahu,Entire condominium,,165,Hosted by Justin,Y,"Honolulu, HI ·",229,6,94,N
3bd/2bath Modern Home by Beach and Mountains,Oahu,Entire house,40,207,Hosted by Damaris,Y,"Hauula, HI ·",393,5,78,N
Charming Beach #2 Cabana Room Single,Kauai,Private room in apartment,,86,Hosted by Solveig,Y,"Kauai, HI ·",514,5,204,N
1 bedroom Center of Waikiki Free ParkingWifi,Oahu,Entire condominium,42,209,Hosted by Ewa,Y,"Honolulu, HI ·",215,4,215,Y
The Ohana Studio,Oahu,Entire house,24,138,Hosted by Brian,Y,"Honolulu, HI ·",358,4,184,Y
Steps to Charley Young Beach Apt #3,Maui,Entire apartment,29,170,Hosted by Thomas,Y,"Hawaii, HI ·",998,3,212,Y
Waikiki Banyan Amazing Ocean View w/Free Parking,Oahu,Entire condominium,39,279,Hosted by Liping,,United States ·,179,4,164,Y
25th Fl. Ocean Views | 1 Block to Beach | WiFi,Oahu,Entire condominium,30,244,Hosted by Midway Realty LLC,Y,"Honolulu, HI ·",1434,4,76,Y
New! Bali Hai Studio w/ pool + jacuzzi @the Cliffs,Kauai,Entire condominium,33,,Hosted by Nathalie,Y,"Kilauea, HI ·",174,7,,
Off Grid Hale,Oahu,Entire bed and breakfast,,124,Hosted by Casey & Shae,Y,"Waialua, HI ·",1110,6,258,Y
Hawaii Surf Inspired Home,Oahu,Entire house,,283,Hosted by Meg,Y,"Hauula, HI ·",425,6,236,N
*Maui Vista Condo*Bldg2* Great Location*Sleeps 4-5,Maui,Entire condominium,,165,Hosted by Deirdre,N,"Berkeley, CA ·",131,6,128,Y
#1 TRACY’S TROPICAL TREASURES:VOTED #1 IN MAUI!,Maui,Entire apartment,34,183,Hosted by Tracy,Y,"Sunny Kihei in Maui, HI ·",502,10,220,Y
